# ketm - level01
#
# command syntax:
# column 1: game-time in 1/10 sec.
# column 2: command (T=text, E=enemy)
# column 3: parameter 1 (T: text to display, E: enemy name)
# column 4: parameter 2 (T: y-pos, E: difficultiy)
#
# columns are separated with pipe ('|')
# comment start with '#'
#
# a BOSS must be the last enemy, after the destruction of BOSSXX
# the next level is loaded.
#
################################################################################
# Background
00000|B||0
# Introtext
00000|T|STOP The Fire Elemental|100
00000|T|And Quick Tony!|120
00000|T|James Rhodes Over And Out!|140
# Lets go!
00060|E|GREETER|0
00070|E|GREETER|0
00080|E|MING|0
00090|E|GREETER|0
00100|E|RWINGX|0
000110|E|XEV|0
000120|E|CRUSHER|0
00130|E|GREETER|0
00135|E|GREETER|0
00150|T|Tony!|30
00155|T|More Are Coming!|80
00180|E|GREETER|0
00190|E|ZATAK|0
00205|E|MING|0
00220|E|EYEFO|0
00230|E|GREETER|0
00250|E|GREETER|0
00260|E|GREETER|0
00270|E|GREETER|0
00280|E|CRUSHER|0
00290|E|ZATAK|0
00320|E|MINE|0
00330|E|MINE|0
00340|E|CURVER|0
00350|E|CURVER|0
00360|E|RWINGX|0
00370|E|GREETER|0
00385|E|GREETER|0
00410|E|GREETER|0
00420|E|XEV|0
00440|E|CURVER|0
00480|E|CUBE|0
00520|E|XEV|0
00540|T|CAREFULL!|30
00545|T|Dodge Their bullets|80
00570|E|MINE|0
00590|E|CURVER|1
00620|E|CURVER|0
00640|E|RWINGX|1
00680|E|DRAGER|0
00700|E|GREETER|0
00720|E|MING|0
00740|E|GREETER|0
00760|E|GREETER|0
00780|E|XEV|0
00800|E|MING|0
00820|E|XEV|0
00840|E|MING|0
00860|E|EYEFO|0
00880|E|MING|1
00900|E|EYEFO|0
00920|E|MING|1
00940|E|PROBALL|0
00960|E|DRAGER|1
00980|E|PROBALL|0
# The Boss...
01010|T|FIRE Elemental!|60
01050|E|BOSS01|0
